Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
ALE9000105;ANTENNE TERRESTRE BU-267;COREDIME;Alcad;Télévision;34;ALE9000105;ALE9000105;;;85291069;2;Carton;;;1;;
ALE9040077;"AMPLIFICATEUR MULTIBANDE CA72
2 X 1 unite";COREDIME;Alcad;Télévision;165;ALE9040077;ALE9040077;;;85437090;0,2;Carton;;;1;;
ALE9040161;AMPLIFICATEUR DA-743;COREDIME;Alcad;Télévision;156;ALE9040161;ALE9040161;;;;;;;;;;
ALE9060068;DERIVATEUR ULB 4S 12 DB;COREDIME;Alcad;Télévision;6,5;ALE9060068;ALE9060068;;;;;;;;;;
ALE9060069;Dérivateur 403;COREDIME;Alcad;Télévision;6,5;ALE9060069;ALE9060069;;;;;;;;;;
ALE9060070;DERIVATEUR ULB 4S 20 DB;COREDIME;Alcad;Télévision;7;ALE9060070;ALE9060070;;;;;;;;;;
ALE9060074;DERIVATEUR ULB 6S 20 DB;COREDIME;Alcad;Télévision;8,9;ALE9060074;ALE9060074;;;;;;;;;;
ALE9120216;"PARABOLE 100 CM-ACIER-SANS-LN
1 X 1 unite";COREDIME;Alcad;Télévision;85;ALE9120216;ALE9120216;;;85291069;2;Carton;;;1;;
BO266;KIT ALIM+AMPLI AM-266 2 entrées UHF;109 Distribution;Alcad;Télévision;27;BO266;BO266;;;;;;;;;;
CA720;AMPLI TV-SAT, BIS-3xUHF-BIII/DAB-BI/FM;109 Distribution;CAE Groupe;Télévision;159;CA720;CA720;;;85437090;;Boîte;;;1;;
CAE17VATCPH5;COAX 17DB 75OHMS PVC BLANC INT;EDOI;CAE Groupe;Télévision;0,2705;CAE17VATCPH5;CAE17VATCPH5;;;;;;;;;;
CAEF013600;"MAT EMBOITABLE ZINC BLANC DIA
40MM HT2M";COREDIME;CAE Groupe;Télévision;17;CAEF013600;CAEF013600;;;;;;;;;;
CAEF051201E;"FIX MURALE GALVA DEPORT 30CM
2 X 1 unite";COREDIME;CAE Groupe;Télévision;15;CAEF051201E;CAEF051201E;;;;;;;;;;
CAEPG17VATCAPH5;COAX TV 17DB 75 OHM PVC BLANC;COREDIME;CAE Groupe;Télévision;0,100133333;CAEPG17VATCAPH5;CAEPG17VATCAPH5;;Déprécié;;;;;;;;
CAERZ154;"CONNECTEUR F MALE A VISSER DI
M6,8MM";COREDIME;CAE Groupe;Télévision;0,25;CAERZ154;CAERZ154;;;;;;;;;;
CAES4W;"REPARTITEUR BIS 2250 MHZ 4 SO
TIES";COREDIME;CAE Groupe;Télévision;3;CAES4W;CAES4W;;;;;;;;;;
CAESAB0816BIS;"DERIVATEUR BIS 2300 MHZ 8 VOI
S 16 dB";COREDIME;CAE Groupe;Télévision;8;CAESAB0816BIS;CAESAB0816BIS;;;;;;;;;;
CAESWE2NUM;COUPLEUR/DECOUPLEUR F TV/SAT;109 Distribution;CAE Groupe;Télévision;2,5;CAESWE2NUM;CAESWE2NUM;;;;;;;;;;
CORDBALRJF040;Cordon balun TV 40cm;RAVATE ELEC;CAE Groupe;Télévision;4,41;CORDBALRJF040;CORDBALRJF040;;;;;;;;;;
DA720;Ampli TV;109 Distribution;Alcad;Télévision;159;DA720;DA720;;;;;;;;;;
DA743;Ampli Bis;109 Distribution;Alcad;Télévision;149;DA743;DA743;;;85437090;;Boîte;;;1;;
DAUUADVA1ZZNOMH;17PATCACLASBCOAXIALTV T500;COREDIME;;Télévision;0,117933313;DAUUADVA1ZZNOMH;DAUUADVA1ZZNOMH;;Déprécié;;;;;;;;
DQC412;DERIVATEUR 4 SORTIES 12DB;109 Distribution;CAE Groupe;Télévision;7,1;DQC412;DQC412;;;;;;;;;;
DQC416;DERIVATEUR 4 SORTIES 16DB QUICOAX;109 Distribution;CAE Groupe;Télévision;6,2;DQC416;DQC416;;;85299065;;Carton matériel TV;;;1;;
DQC420;DERIVATEUR 4 SORTIES 20DB;109 Distribution;CAE Groupe;Télévision;7;DQC420;DQC420;;;85299065;;Carton matériel TV;;;3;;
DQC424;DERIVATEUR 4 SORTIES 24 DB;109 Distribution;CAE Groupe;Télévision;7;DQC424;DQC424;;;;;;;;;;
DQC616;DERIVATEUR 6 SORTIES 16DB;109 Distribution;CAE Groupe;Télévision;10,5;DQC616;DQC616;;;;;;;;;;
DQC620;DERIVATEUR 6 SORTIES 20DB;109 Distribution;CAE Groupe;Télévision;11;DQC620;DQC620;;;85299065;;Carton matériel TV;;;5;;
DQC624;Dérivateurs 6 sorties 24dB;109 Distribution;Axitronic;Télévision;11,5;DQC624;DQC624;;;;;;;;;;
EKBLUE;ANTENNE UHF LTE 5G FICHE F GAAIN 17DB;109 Distribution;Ekselans;Télévision;33;EKBLUE;EKBLUE;;;85437090;;Carton;;;1;;
EKBLUEACTIVE;ANTENNE UHF LTE 5G (470-694 MHz) avec connecteur F;109 Distribution;Ekselans;Télévision;49;EKBLUEACTIVE;EKBLUEACTIVE;;;;;;;;;;
F013501;Mât emboîtable Galva D40 H1.5;109 Distribution;CAE Groupe;Télévision;13;F013501;F013501;;;73089098;2;Sachet;;;6;;
F013600;MAT EMBOITABLE ZINC DIAM 40 2m;109 Distribution;Axitronic;Télévision;13;F013600;F013600;;;;7;Vrac;;;1;;
F051201E;F051201E;COREDIME;CAE Groupe;Télévision;10,8114;F051201E;F051201E;;;;;;;;;;
F051301;FIXATION MURALE (PATTE EN V) DEPORT 380MM;109 Distribution;CAE Groupe;Télévision;32;F051301;F051301;;;;;;;;;;
F051501;FIXATION MURALE (PATTE EN V) DEPORT 480MM;109 Distribution;CAE Groupe;Télévision;35;F051501;F051501;;;73269098;;Sachet;;;1;;
F11;Fiches F11 TV;109 Distribution;;Télévision;2,5;F11;F11;;;;;;;;;;
LNBSINGLE;LNB SINGLE;109 Distribution;;Télévision;4;LNBSINGLE;LNBSINGLE;;;85299020;0,01;Boîte;;;10;;
P85COMP1;PARABOLE COMPOSIBTE 85CM;RAVATE ELEC;CAE Groupe;Télévision;107,2;P85COMP1;P85COMP1;;;;;;;;;;
PARA80AC1;PARABOLE 80 ACIER DOUBLE BRIDES;109 Distribution;;Télévision;39;PARA80AC1;PARA80AC1;;;85299085;;Carton;;;1;;
PATC17N;Câble PATC 17 noir T500;109 Distribution;;Télévision;0,2;PATC17N;PATC17N;;;;;;;;;;
PF424;PARABOLE 80CM AVEC LNB SINGLE,  ACIER ELECTROZINGUEE AVEC RECOUVREMENT POLYESTER;109 Distribution;;Télévision;;PF424;PF424;;;;;;;;;;
PG17VATCAPH5;COAX TV 17dB 75Ω PVC blanc;COREDIME;CAE Groupe;Télévision;0,4026;PG17VATCAPH5;PG17VATCAPH5;;;;;;;;;;
RQC2;REPARTITEUR TV 2 DIRECTIONS;109 Distribution;CAE Groupe;Télévision;3,9;RQC2;RQC2;;;85299065;;Carton matériel TV;;;2;;
RQC4;REPARTITEUR TV 4 DIRECTIONS 4 QUICOAX;109 Distribution;CAE Groupe;Télévision;6,3;RQC4;RQC4;;;85299065;;Carton matériel TV;;;2;;
RQC8;Répartiteur TV 8 directions;109 Distribution;CAE Groupe;Télévision;10,5;RQC8;RQC8;;;;;;;;;;
RZ148;Adaptateur F Femelle/Femelle avec écrou;109 Distribution;CAE Groupe;Télévision;0,45;RZ148;RZ148;;Manchon TV;;;;;;;;
RZ149;Bouchon de charge F mâle 75 Ohm - à visser;109 Distribution;CAE Groupe;Télévision;0,25;RZ149;RZ149;;;85366990;0,005;Boîte;;;10;;
RZ154;Connecteur F17 (Fiche F TV) à visser;109 Distribution;CAE Groupe;Télévision;0,2;RZ154;RZ154;;Fiche F TV;85366990;0,01;Sachet;;;100;;
RZ156;Connecteur F à sertir;109 Distribution;CAE Groupe;Télévision;0,2;RZ156;RZ156;;;85366990;0,01;Sachet;;;100;;
S2W;Répartiteur terrestre et satellite 1 entrée 2 sorties;109 Distribution;Axitronic;Télévision;3;S2W;S2W;;;;;;;;;;
S2WN;REPARTITEUR ULB 2 DIRECTIONS;109 Distribution;CAE Groupe;Télévision;2,5;S2WN;S2WN;;;;;;;;;;
S3W;Répartiteur terrestre et satellite 1 entrée 3 sorties;109 Distribution;Axitronic;Télévision;;S3W;S3W;;;;;;;;;;
S3WN;Répartiteur numérique 3.D;RAVATE ELEC;CAE Groupe;Télévision;1,79;S3WN;S3WN;;;;;;;;;;
S4W;Répartiteur terrestre et satellite 1 entrée 4 sorties;109 Distribution;Axitronic;Télévision;3;S4W;S4W;;;;;;;;;;
S4WN;Répartiteur numérique 3.D;RAVATE ELEC;CAE Groupe;Télévision;2,27;S4WN;S4WN;;;;;;;;;;
S6W;Répartiteur terrestre et satellite 1 entrée 6 sorties;109 Distribution;Axitronic;Télévision;5,5;S6W;S6W;;;;;;;;;;
S6WN;Répartiteur numérique 6D;RAVATE ELEC;CAE Groupe;Télévision;5,5;S6WN;S6WN;;;;;;;;;;
S8W;Répartiteur terrestre et satellite 1 entrée 8 sorties;109 Distribution;Axitronic;Télévision;10;S8W;S8W;;;;;;;;;;
SAB0210BIS;DERIVATEUR BIS 2300 MHZ 2 VOIES 10db;109 Distribution;CAE Groupe;Télévision;3,5;SAB0210BIS;SAB0210BIS;;;;;;;;;;
SAB0410BIS;DERIVATEUR BIS 4 VOIES 10 DB;RAVATE ELEC;CAE Groupe;Télévision;6;SAB0410BIS;SAB0410BIS;;;;;;;;;;
SAB0616BIS;DERIVATEUR BIS 2300 MhZ 6 VOIES 16 dB;109 Distribution;CAE Groupe;Télévision;9,9;SAB0616BIS;SAB0616BIS;;;;;;;;;;
SAB0620BIS;DERIVATEUR BIS 2300 MhZ 6 VOIES 20 dB;109 Distribution;CAE Groupe;Télévision;7,5;SAB0620BIS;SAB0620BIS;;;;;;;;;;
THD2148N;ANTENNE UHF EXT TRINAPPE CANAL 21/48;109 Distribution;Axitronic;Télévision;33;THD2148N;THD2148N;;;;;;;;;;
VATC17T;Câble 17 VATC Coaxial Classe B;109 Distribution;;Télévision;0,2;VATC17T;VATC17T;;;85442000;4;Vrac;;;;;
ANT010;Bouchon de charge F male;COMINTER;;Télévision;0,18;ANT010;ANT010;;;85299020;;Sachet;;;50;;
SAB0820BIS;DERIVATEUR BIS 2300 MHZ 8 VOIES 20db;109 Distribution;CAE Groupe;Télévision;9,5;SAB0820BIS;SAB0820BIS;;;;;;;;;;
SAB0420BIS;DERIVATEUR BIS 2300 MhZ 4 VOIES 20 dB;109 Distribution;L'Ebénoïd;Télévision;7,5;EBESAB0420BIS;SAB0420BIS;;;;;;;;;;
DE-207;DERIVATEUR BIS 2 SOR 25 dB;109 Distribution;L'Ebénoïd;Télévision;6,8;EBEDE-207;DE-207;;;;;;;;;;
DE-203;DERIVATEUR BIS 2 SOR 15 dB;109 Distribution;L'Ebénoïd;Télévision;4,8;EBEDE-203;DE-203;;;;;;;;;;
SAB0220BIS;DERIVATEUR BIS 2300 MhZ 2 VOIES 20 dB;109 Distribution;Axitronic;Télévision;2,9;SAB0220BIS;SAB0220BIS;;;;;;;;;;
RQC6;REPARTITEUR TV 6 DIRECTIONS QUICOAX;109 Distribution;Axitronic;Télévision;11;RQC6;RQC6;;;;;;;;;;
2537;TUBE TPC 50 ROUL DE 25M VERT;RAVATE ELEC;;TPC;1,44;2537;2537;TPC50;;;;;;;;;
4836;TUBE TPC 160 X 6M;RAVATE ELEC;;TPC;5,315;4836;4836;TPC160;;;;;;;;;
6601;TUBE TPC 40 ROUL DE 50M ROUGE;RAVATE ELEC;;TPC;1,4428;6601;6601;TPC40;;;;;;;;;
30063924;TPC ROUGE ROULEAUX MT DIAM 50 C50M TP GLISS;109 Distribution;;TPC;0,9;30063924;30063924;TPC50;;;;;;;;;
30064320;TPC ROUGE D63 C25M TP GLISS;109 Distribution;;TPC;1,05;30064320;30064320;TPC63;;;;;;;;;
30064324;TPC ROUGE ROULEAUX D63 C50M TP GLISS;109 Distribution;;TPC;1,05;30064324;30064324;TPC63;;;;;;;;;
30064720;TPC ROUGE ROULEAUX D75 C25M TP GLISS;109 Distribution;Courant;TPC;1,55;30064720;30064720;TPC75;;;;;;;;;
30064724;TPC Rouge Ø75 C50;109 Distribution;Courant;TPC;1,75;30064724;30064724;TPC75;;;;;;;;;
31065512;TPC ROUGE BARRES MT 6 D110 TP GLISS;109 Distribution;;TPC;2,7;31065512;31065512;TPC110;;;;;;;;;
31066512;TPC ROUGE BARRES MT 6 D160 TP GLISS 35036512;109 Distribution;;TPC;4,2;31066512;31066512;TPC160;;;;;;;;;
32035520;TPC ROUGE Ø110 C25M TP GLISS;109 Distribution;;TPC;3;32035520;32035520;TPC110;;39173200;;Couronne;;;25;;
32036520;TPC ROUGE D160 C25M TP GLISS;109 Distribution;;TPC;5,8;32036520;32036520;TPC160;;39173200;;Couronne;;;25;;
32083320;TPC VERT DIAM. 40 25M TP GLISS;109 Distribution;;TPC;0,8;32083320;32083320;TPC40;;;;;;;;;
32083920;TPC VERT DIAM.50 C 25M;109 Distribution;Courant;TPC;0,9;32083920;32083920;TPC50;;;;;;;;;
32083924;TPC VERT DIAM.50 C 50M TP GLISS;109 Distribution;;TPC;0,9;32083924;32083924;TPC50;;;;;;;;;
34033320;TPC ROUGE DIAM 40 25M TP GLISS;109 Distribution;;TPC;0,8;34033320;34033320;TPC40;;;;;;;;;
34033920;TPC ROUGE ROULEAUX DIAM 50 C25M TP GLISS;109 Distribution;Courant;TPC;0,9;34033920;34033920;TPC50;;;;;;;;;
80470000;Manchon TPC Ø75;109 Distribution;;TPC;2;80470000;80470000;MANCHONS75;;39174000;;;;;;;
705001039;TPC 50 Rouge;COREDIME;Courant;TPC;1,45;705001039;705001039;TPC50;Tarif Février 2025;;;;;;;;
705001040;TPC 63 Rouge;COREDIME;Courant;TPC;1,58;705001040;705001040;TPC63;Tarif Février 2025;;;;;;;;
705001041;TPC 75 Rouge;COREDIME;Courant;TPC;1,85;705001041;705001041;TPC75;Tarif Février 2025;;;;;;;;
705001042;TPC 110 Rouge;COREDIME;Courant;TPC;2,9;705001042;705001042;TPC110;Tarif Février 2025;;;;;;;;
705002537;TPC 50 Vert;COREDIME;Courant;TPC;1,44;705002537;705002537;TPC50;Tarif Février 2025;;;;;;;;
705004836;TPC 160 Rouge;COREDIME;;TPC;5,25;705004836;705004836;TPC160;Tarif Février 2025;;;;;;;;
001039;TUBE TPC 50 ROUL DE 25M ROUGE;RAVATE ELEC;;TPC;1,44;001039;001039;TPC50;Tarifs Juin 2024;;;;;;;;
001040;TUBE TPC 63-ROUL DE 25 METRES;RAVATE ELEC;;TPC;2,3728;001040;001040;TPC63;Tarifs Octobre 2024;;;;;;;;
001041;TUBE TPC 75 ROUL DE 25 METRES;RAVATE ELEC;;TPC;2,88;001041;001041;TPC75;Tarifs Octobre 2024;;;;;;;;
001043;TUBE TPC 110 X 6M;RAVATE ELEC;;TPC;4,255;001043;001043;TPC110;Tarifs Octobre 2024;;;;;;;;
002537;TUBE TPC 50 ROUL DE 25M VERT;RAVATE ELEC;;TPC;1,44;002537;002537;TPC50;Tarifs Juin 2024;;;;;;;;
003437;TUBE TPC 75 BARRE DE 6M;RAVATE ELEC;;TPC;1,753333333;003437;003437;TPC75;Tarifs Juin 2024;;;;;;;;
004836;TUBE TPC 160 X 6M;RAVATE ELEC;;TPC;5,315;004836;004836;TPC160;Tarifs Juin 2024;;;;;;;;
006601;TUBE TPC 40 ROUL DE 50M ROUGE;RAVATE ELEC;;TPC;1,4428;006601;006601;TPC40;Tarifs Octobre 2024;;;;;;;;
30063924;TPC ROUGE ROULEAUX MT DIAM 50 C50M TP GLISS;109 Distribution;;TPC;0,9;30063924;30063924;TPC50;Tarifs Octobre 2024;;;;;;;;
30064320;TPC ROUGE D63 C25M TP GLISS;109 Distribution;;TPC;1,05;30064320;30064320;TPC63;;;;;;;;;
30064324;TPC ROUGE ROULEAUX D63 C50M TP GLISS;109 Distribution;;TPC;1,05;30064324;30064324;TPC63;Tarifs Octobre 2024;;;;;;;;
30064720;TPC ROUGE ROULEAUX D75 C25M TP GLISS;109 Distribution;Courant;TPC;1,55;30064720;30064720;TPC75;;;;;;;;;
30064724;TPC ROUGE ROULEAUX D75 C50M TP GLISS;109 Distribution;;TPC;1,5;30064724;30064724;TPC75;Tarifs Octobre 2024;;;;;;;;
301TPCR1106;TUBE TPC ROUGE Ø110 6M;SOPSAR;;TPC;3,3833333;301TPCR1106;301TPCR1106;TPC110;;;;;;;;;
31065512;TPC ROUGE BARRES MT 6 D110 TP GLISS;109 Distribution;;TPC;2,7;31065512;31065512;TPC110;Tarifs Octobre 2024;;;;;;;;
31066512;TPC ROUGE BARRES MT 6 D160 TP GLISS 35036512;109 Distribution;;TPC;4,2;31066512;31066512;TPC160;Tarifs Octobre 2024;;;;;;;;
32035120;TPC ROUGE ROULEAUX D90 C25M TP GLISS;109 Distribution;;TPC;1,8;32035120;32035120;TPC90;Tarifs Octobre 2024;;;;;;;;
32035520;TPC ROUGE Ø110 C25M TP GLISS;109 Distribution;;TPC;3;32035520;32035520;TPC110;;;;;;;;;
32036520;TPC ROUGE D160 C25M TP GLISS;109 Distribution;;TPC;5,8;32036520;32036520;TPC160;;;;;;;;;
32083320;TPC VERT DIAM. 40 25M TP GLISS;109 Distribution;;TPC;0,8;32083320;32083320;TPC40;Tarifs Octobre 2024;;;;;;;;
32083920;TPC VERT DIAM.50 C 25M;109 Distribution;Courant;TPC;0,9;32083920;32083920;TPC50;;;;;;;;;
32083924;TPC VERT DIAM.50 C 50M TP GLISS;109 Distribution;;TPC;0,9;32083924;32083924;TPC50;Tarifs Octobre 2024;;;;;;;;
34033320;TPC ROUGE DIAM 40 25M TP GLISS;109 Distribution;;TPC;0,8;34033320;34033320;TPC40;Tarifs Octobre 2024;;;;;;;;
34033920;TPC ROUGE ROULEAUX DIAM 50 C25M TP GLISS;109 Distribution;Courant;TPC;0,9;34033920;34033920;TPC50;;;;;;;;;
50-34000;TPC VERT Ø50 (50mts);GMR;;TPC;74,51;50-34000;50-34000;TPC50;Tarifs Juin 2024;;;;;;;;
50-34001040;TPC ROUGE Ø63 (25mts);GMR;;TPC;43,11;50-34001040;50-34001040;TPC63;Tarifs Juin 2024;;;;;;;;
50-34003;TPC ROUGE Ø75 (25mts);GMR;;TPC;47,36;50-34003;50-34003;TPC75;Tarifs Juin 2024;;;;;;;;
50-34004;TPC ROUGE Ø40 (50mts);GMR;;TPC;34,36;50-34004;50-34004;TPC40;Tarifs Juin 2024;;;;;;;;
50-340041;TPC ROUGE Ø160 (La Barre de 6mts);GMR;;TPC;29,51;50-340041;50-340041;TPC160;Tarifs Juin 2024;;;;;;;;
50-34005;TPC ROUGE Ø50 (25mts);GMR;;TPC;38,34;50-34005;50-34005;TPC50;Tarifs Juin 2024;;;;;;;;
50-6611;TPC ROUGE Ø90 (25mts);GMR;;TPC;55,04;50-6611;50-6611;TPC90;Tarifs Juin 2024;;;;;;;;
705001039;TPC 50 ROUGE C25M;COREDIME;;TPC;1,35;705001039;705001039;TPC50;;;;;;;;;
80470000;Manchon TPC Ø75;109 Distribution;;TPC;2;80470000;80470000;MANCHONS75;;39174000;;;;;;;
CA438050;Manchon TPC Ø50 F-F;COMINTER Mayotte;;TPC;2,46;CA438050;CA438050;MANCHONS50;;39174000;;;;;;;
COU30064320;TUBE TPC 63 - Rouleau de 25m;RAVATE ELEC;Courant;TPC;1,6608;COU30064320;COU30064320;TPC63;;;;;;;;;
COU30064720;TUBE TPC 75 ROUL DE 25 METRES;RAVATE ELEC;;TPC;50,4;COU30064720;COU30064720;TPC75;;;;;;;;;
COU32035520;TPC Ø110 C25;EDOI;Courant;TPC;4,2705;COU32035520;COU32035520;TPC110;;;;;;;;;
COU34001;TPC V D50 (25MTS);GMR;Courant;TPC;2,0592;COU34001;COU34001;TPC50;Tarifs Octobre 2024;;;;;;;;
COU34001040;TPC R D63 (25MTS);GMR;;TPC;2,374;COU34001040;COU34001040;TPC63;Tarifs Octobre 2024;;;;;;;;
COU34003;TPC R D75 (25MTS);GMR;Courant;TPC;2,5596;COU34003;COU34003;TPC75;Tarifs Octobre 2024;;;;;;;;
COU34003324;TPGLISS NB VERT 40-50;EDOI;Courant;TPC;0,9302;COU34003324;COU34003324;TPC40;;;;;;;;;
COU340041;TPC R D160 (LA BARR 6MTS);GMR;;TPC;7,29;COU340041;COU340041;TPC160;Tarifs Octobre 2024;;;;;;;;
COU34033924;TPGLISS NBR 50-50;EDOI;Courant;TPC;1,2375;COU34033924;COU34033924;TPC50;;;;;;;;;
COU6611;TPC R D90 (25MTS);GMR;Courant;TPC;3,108;COU6611;COU6611;TPC90;Tarifs Octobre 2024;;;;;;;;
COUTUF6600;TPC R D40 (25MTS);GMR;Courant;TPC;1,4836;COUTUF6600;COUTUF6600;TPC40;Tarifs Octobre 2024;;;;;;;;
TPC110;Tube TPC Ø110 barre de 6Mts Rouge;COMINTER Mayotte;;TPC;5,35;TPC110;TPC110;TPC110;;;;;;;;;
TPC160R025L;TPGLISS Ø160/25ml LISERÉ ROUGE;MAYIMEX;;TPC;200,85;TPC160R025L;TPC160R025L;TPC160;;;;;;;;;
TPC40/1;Tube TPC Ø50 couronne 25Mts Vert;COMINTER Mayotte;;TPC;1,56106;TPC40/1;TPC40/1;TPC50;;;;;;;;;
TPC40VC5;TPC Ø40 vert ;RAVATE ELEC;;TPC;51,16;TPC40VC5;TPC40VC5;TPC40;;;;;;;;;
TPC63;Tube TP GLISS Ø63 couronne 25Mts Rouge;COMINTER Mayotte;;TPC;1,52;TPC63;TPC63;TPC63;;39173200;;Couronne;;;25;;
TPC63/2;Tube TP GLISS Ø63 couronne 50Mts Rouge;COMINTER Mayotte;;TPC;1,5622;TPC63/2;TPC63/2;TPC63;;;;;;;;;
TPC75/2;Tube TPC Ø75 couronne 50Mts Rouge;COMINTER Mayotte;;TPC;2,0036;TPC75/2;TPC75/2;TPC75;;;;;;;;;
TPC75C;TPC Ø75 ;RAVATE ELEC;;TPC;47,45;TPC75C;TPC75C;TPC75;;;;;;;;;
TPC50;Tube TP GLISS Ø50 couronne 25Mts Rouge;COMINTER;;TPC;0,76;TPC50;TPC50;TPC50;;;;;;;;;
042827;Transformateur d'isolement primaire 400V~ et secondaire 400V~+N - 16kVA;GMR;Legrand;Transformateur;2522;LEG042827;042827;;;;;;;;;;
09250055;TRANSFO LPV 24VDC IP67 100W;RAVATE ELEC;TSL;Transformateur;25;09250055;09250055;;;;;;;;;;
A38B45FF33455;TRANSFORMATEUR ISOLEMENT 16KVA TRI 400/400V;ODEES;;Transformateur;2023;A38B45FF33455;A38B45FF33455;;;;;;;;;;
9993;Livraison avion;COREDIME;;Transport;;9993;9993;;;;;;;;;;
97102;Transport PICATA Forfait Transport - Professionnels;GrosBill Pro;;Transport;16;97102;97102;;;;;;;;;;
9700014;Expédition internationale PICATA direct client hors CE (colis);GrosBill Pro;;Transport;;9700014;9700014;;;;;;;;;;
19900005;SERVICE LIVRAISON;Ravate Pro;;Transport;120;19900005;19900005;;;;;;;;;;
09700014;Expédition internationale PICATA direct client hors CE (colis);GrosBill Pro;;Transport;;09700014;09700014;;;;;;;;;;
19900005;SERVICE LIVRAISON;Ravate Pro;;Transport;120;19900005;19900005;;;;;;;;;;
9993;Livraison avion;COREDIME;;Transport;;9993;9993;;;;;;;;;;
GEN.103518;Transport Express Zambelis;CLAREO;;Transport;72;GEN.103518;GEN.103518;;;;;;;;;;
LIVAIR;Livraison AIR sous 7-10 jours;Telenco;;Transport;350;LIVAIR;LIVAIR;;;;;;;;;;
PORT;Frais de port;Imporelec;;Transport;35;PORT;PORT;;;;;;;;;;
PORT_EXPORT;SHIPMENT COSTS;Imporelec;;Transport;60;PORT_EXPORT;PORT_EXPORT;;;;;;;;;;
TRANSPORT;TRANSPORT;GMR;;Transport;35;TRANSPORT;TRANSPORT;;;;;;;;;;
TRSP;Frais de port;YESSS;;Transport;125;TRSP;TRSP;;;;;;;;;;
ZPORT;Frais emballage;COMINTER;;Transport;700;ZPORT;ZPORT;;;;;;;;;;
ZPORT/COLISSIMO;Port & frais d'expédition Colissimo;Protecthoms;;Transport;576;ZPORT/COLISSIMO;ZPORT/COLISSIMO;;;;;;;;;;
ZTRANSPORT;TRANSPORT VIA DHL;STAND 64;;Transport;150;ZTRANSPORT;ZTRANSPORT;;;;;;;;;;
TRPSP120CAT1-ZONE 0;TRANSPORT SP120 CATEGORIE 1 - ZONE 0.;Loxam;;Transport;100;TRPSP120CAT1-ZONE 0;TRPSP120CAT1-ZONE 0;;;;;;;;;;
LIVRAISON;FRAIS DE LIVRAISON;REM ;;Transport;50;LIVRAISON;LIVRAISON;;;;;;;;;;
591384;TUBE FLUO T5 LL HE 14W 840;RAVATE ELEC;Osram;Tube Fluo;3,81;591384;591384;;;;;;;;;;
93096233;Tungsram - FT8 58W 840 TU SL1-25;COREDIME;Tungsram;Tube Fluo;7,3305;93096233;93096233;;;;;;;;;;
59210;100 COLLIERS A EMBASE RAMTUB 16/32;109 Distribution;RAM;Tubes IRL;19;59210;59210;;;39269097;0,2;Boîte;;;1;;
16041508;TUBE IRO DIAM 20 - 3M;109 Distribution;Courant;Tubes IRL;0,5;16041508;16041508;;;;;;;;;;
16041908;TUBE IRO DIAM 25 - 3M;109 Distribution;Courant;Tubes IRL;0,7;16041908;16041908;;;;;;;;;;
16042708;TUBE IRO DIAM 32 - 3M;109 Distribution;Courant;Tubes IRL;0,99;16042708;16042708;;;;;;;;;;
16043208;TUBE IRO DIAM 40 - 3M;109 Distribution;Courant;Tubes IRL;1,35;16043208;16043208;;;;;;;;;;
031904;Clipsoconduit gris RAL7035 pour conduit IRL Ø20mm;RAVATE ELEC;Legrand;Tubes IRL;;LEG031904;031904;;;;;;;;;;
16041508;TUBE IRO DIAM 20 - 3M;109 Distribution;Courant;Tubes IRL;0,5;16041508;16041508;;IRO20/00;;;;;;;;
16041908;TUBE IRO DIAM 25 - 3M;109 Distribution;Courant;Tubes IRL;0,7;16041908;16041908;;;;;;;;;;
16042708;TUBE IRO DIAM 32 - 3M;109 Distribution;Courant;Tubes IRL;0,99;16042708;16042708;;;;;;;;;;
16043208;TUBE IRO DIAM 40 - 3M;109 Distribution;Courant;Tubes IRL;1,35;16043208;16043208;;;;;;;;;;
50-16041508;Tube IRO Gris Ø20 3M;GMR;;Tubes IRL;0,4114;50-16041508;50-16041508;;;;;;;;;;
59210;100 COLLIERS A EMBASE RAMTUB 16/32;109 Distribution;RAM;Tubes IRL;19;59210;59210;;Colliers IRO a embase Ramtub 16/32 Boite de 100pcs (Sarel);;;;;;;;
BAS26455;TUBE IRO G D25 - BASOR (3MT);GMR;Basor;Tubes IRL;0,46;BAS26455;BAS26455;;;;;;;;;;
CFF1BIS;CLIPS AVEC COLLIER SOUPLE IRL DIAM 13 A 32  SACHET DE 100;109 Distribution;;Tubes IRL;19;CFF1BIS;CFF1BIS;;;;;;;;;;
GEWDX27720;IRLB/20 3MT-TUBE RIG.TUL. MOY;COREDIME;Gewiss;Tubes IRL;0,5374;GEWDX27720;GEWDX27720;;;;;;;;;;
GEWDX27725;IRLB/25 3MT-TUBE RIG.TUL. MOYE;COREDIME;Gewiss;Tubes IRL;0,6517;GEWDX27725;GEWDX27725;;;;;;;;;;
GEWDX27732;IRLB/32 3MT-TUBE RIG.TUL.MOYEN;COREDIME;Gewiss;Tubes IRL;0,9;GEWDX27732;GEWDX27732;;;;;;;;;;
IMT50616;TUBE TULIPE GRIS D16MM PAR 3M;RAVATE ELEC;Schneider Electric;Tubes IRL;1,34;IMT50616;IMT50616;;;;;;;;;;
